"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/page/profile/ProfilePage.jsx", "JavaScript JSX", 0, 0, 445, 0, 50, 495
"/home/samnang/Documents/apsor-frontend/src/page/provider/BecomeProviderPage.jsx", "JavaScript JSX", 0, 0, 601, 0, 80, 681
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderDetailPage.jsx", "JavaScript JSX", 0, 0, 575, 0, 52, 627
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderProfilePage.jsx", "JavaScript JSX", 0, 0, 465, 0, 51, 516
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderServiceManagePage.jsx", "JavaScript JSX", 0, 0, 296, 0, 38, 334
"/home/samnang/Documents/apsor-frontend/src/page/search/SearchRelatedPage.jsx", "JavaScript JSX", 0, 0, 351, 0, 45, 396
"/home/samnang/Documents/apsor-frontend/src/page/service/EditServicePage.jsx", "JavaScript JSX", 0, 0, 4, 0, 2, 6
"/home/samnang/Documents/apsor-frontend/src/page/service/ServiceDetailPage.jsx", "JavaScript JSX", 0, 0, 121, 0, 20, 141
"/home/samnang/Documents/apsor-frontend/src/page/service/ServiceFormPage.jsx", "JavaScript JSX", 0, 0, 2530, 0, 262, 2792
"/home/samnang/Documents/apsor-frontend/src/page/service/UploadServicePage.jsx", "JavaScript JSX", 0, 0, 4, 0, 2, 6
"/home/samnang/Documents/apsor-frontend/src/store/useCategoryStore.js", "JavaScript", 54, 0, 0, 0, 10, 64
"/home/samnang/Documents/apsor-frontend/src/utils/assets.js", "JavaScript", 26, 0, 0, 0, 8, 34
"/home/samnang/Documents/apsor-frontend/src/utils/orders.js", "JavaScript", 219, 0, 0, 0, 30, 249
"/home/samnang/Documents/apsor-frontend/src/utils/pricing.js", "JavaScript", 44, 0, 0, 0, 6, 50
"/home/samnang/Documents/apsor-frontend/src/utils/provider.js", "JavaScript", 81, 0, 0, 1, 18, 100
"/home/samnang/Documents/apsor-frontend/src/utils/service.js", "JavaScript", 100, 0, 0, 0, 18, 118
"Total", "-", 3694, 102, 18343, 38, 2293, 24470
