"filename", "language", "PostCSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/home/samnang/Documents/apsor-frontend/src/data/defaultOrders.js", "JavaScript", 0, 66, 0, 0, 1, 67
"/home/samnang/Documents/apsor-frontend/src/data/defaultProviders.js", "JavaScript", 0, 74, 0, 0, 1, 75
"/home/samnang/Documents/apsor-frontend/src/data/defaultServices.js", "JavaScript", 0, 406, 0, 0, 1, 407
"/home/samnang/Documents/apsor-frontend/src/data/defaultSubcategories.js", "JavaScript", 0, 242, 0, 0, 1, 243
"/home/samnang/Documents/apsor-frontend/src/helper/tableColumn.jsx", "JavaScript JSX", 0, 0, 1188, 0, 30, 1218
"/home/samnang/Documents/apsor-frontend/src/hooks/useOrders.js", "JavaScript", 0, 5, 0, 0, 2, 7
"/home/samnang/Documents/apsor-frontend/src/hooks/useTheme.js", "JavaScript", 0, 55, 0, 0, 10, 65
"/home/samnang/Documents/apsor-frontend/src/i18n/dict.js", "JavaScript", 0, 196, 0, 0, 1, 197
"/home/samnang/Documents/apsor-frontend/src/i18n/useLang.js", "JavaScript", 0, 35, 0, 4, 7, 46
"/home/samnang/Documents/apsor-frontend/src/index.css", "PostCSS", 97, 0, 0, 0, 22, 119
"/home/samnang/Documents/apsor-frontend/src/layouts/RouteLayout.jsx", "JavaScript JSX", 0, 0, 19, 0, 2, 21
"/home/samnang/Documents/apsor-frontend/src/main.jsx", "JavaScript JSX", 0, 0, 9, 0, 2, 11
"/home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPassword.jsx", "JavaScript JSX", 0, 0, 128, 0, 13, 141
"/home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPasswordOtp.jsx", "JavaScript JSX", 0, 0, 190, 0, 21, 211
"/home/samnang/Documents/apsor-frontend/src/page/auth/ResetPassword.jsx", "JavaScript JSX", 0, 0, 178, 0, 16, 194
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignIn.jsx", "JavaScript JSX", 0, 0, 184, 0, 21, 205
"/home/samnang/Documents/apsor-frontend/src/page/auth/SignUp.jsx", "JavaScript JSX", 0, 0, 408, 0, 39, 447
"/home/samnang/Documents/apsor-frontend/src/page/auth/authStorage.js", "JavaScript", 0, 122, 0, 0, 25, 147
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInText.js", "JavaScript", 0, 46, 0, 0, 1, 47
"/home/samnang/Documents/apsor-frontend/src/page/auth/signInUtils.js", "JavaScript", 0, 55, 0, 0, 15, 70
"/home/samnang/Documents/apsor-frontend/src/page/category/CategoryDetailPage.jsx", "JavaScript JSX", 0, 0, 141, 0, 11, 152
"/home/samnang/Documents/apsor-frontend/src/page/home/HomePage.jsx", "JavaScript JSX", 0, 0, 47, 0, 9, 56
"/home/samnang/Documents/apsor-frontend/src/page/order/OrderDetailPage.jsx", "JavaScript JSX", 0, 0, 259, 0, 16, 275
"/home/samnang/Documents/apsor-frontend/src/page/order/OrdersPage.jsx", "JavaScript JSX", 0, 0, 392, 0, 28, 420
"/home/samnang/Documents/apsor-frontend/src/page/payment/PaymentPage.jsx", "JavaScript JSX", 0, 0, 182, 0, 19, 201
"/home/samnang/Documents/apsor-frontend/src/page/profile/ProfilePage.jsx", "JavaScript JSX", 0, 0, 272, 0, 28, 300
"/home/samnang/Documents/apsor-frontend/src/page/provider/BecomeProviderPage.jsx", "JavaScript JSX", 0, 0, 601, 0, 80, 681
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderDetailPage.jsx", "JavaScript JSX", 0, 0, 530, 0, 44, 574
"/home/samnang/Documents/apsor-frontend/src/page/provider/ProviderServiceManagePage.jsx", "JavaScript JSX", 0, 0, 188, 0, 23, 211
"/home/samnang/Documents/apsor-frontend/src/page/search/SearchRelatedPage.jsx", "JavaScript JSX", 0, 0, 320, 0, 37, 357
"/home/samnang/Documents/apsor-frontend/src/page/service/EditServicePage.jsx", "JavaScript JSX", 0, 0, 4, 0, 2, 6
"/home/samnang/Documents/apsor-frontend/src/page/service/ServiceDetailPage.jsx", "JavaScript JSX", 0, 0, 121, 0, 20, 141
"/home/samnang/Documents/apsor-frontend/src/page/service/ServiceFormPage.jsx", "JavaScript JSX", 0, 0, 2529, 0, 262, 2791
"/home/samnang/Documents/apsor-frontend/src/page/service/UploadServicePage.jsx", "JavaScript JSX", 0, 0, 4, 0, 2, 6
"/home/samnang/Documents/apsor-frontend/src/store/useCategoryStore.js", "JavaScript", 0, 54, 0, 0, 10, 64
"/home/samnang/Documents/apsor-frontend/src/utils/assets.js", "JavaScript", 0, 26, 0, 0, 8, 34
"/home/samnang/Documents/apsor-frontend/src/utils/orders.js", "JavaScript", 0, 129, 0, 0, 22, 151
"/home/samnang/Documents/apsor-frontend/src/utils/pricing.js", "JavaScript", 0, 44, 0, 0, 6, 50
"/home/samnang/Documents/apsor-frontend/src/utils/provider.js", "JavaScript", 0, 24, 0, 1, 8, 33
"/home/samnang/Documents/apsor-frontend/src/utils/service.js", "JavaScript", 0, 94, 0, 0, 14, 108
"Total", "-", 102, 3109, 15482, 30, 1889, 20612
