Date : 2026-03-18 17:02:23
Directory : /home/samnang/Documents/apsor-frontend/src
Total : 103 files,  17645 codes, 30 comments, 1748 blanks, all 19423 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadInfoTile.jsx     | JavaScript JSX |         15 |          0 |          1 |         16 |
| /home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadStepCard.jsx     | JavaScript JSX |         21 |          0 |          2 |         23 |
| /home/samnang/Documents/apsor-frontend/src/components/services/upload/UploadToggleButton.jsx | JavaScript JSX |         30 |          0 |          4 |         34 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Breadcrumb.jsx                  | JavaScript JSX |         84 |          0 |         14 |         98 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Category.jsx                    | JavaScript JSX |         94 |          0 |          8 |        102 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Footer.jsx                      | JavaScript JSX |         51 |          0 |          6 |         57 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Header.jsx                      | JavaScript JSX |        395 |          7 |         30 |        432 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/HeroSwiper.jsx                  | JavaScript JSX |        176 |          7 |         16 |        199 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/InputField.jsx                  | JavaScript JSX |        234 |          0 |         20 |        254 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Modal.jsx                       | JavaScript JSX |         95 |          0 |         12 |        107 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/NearestService.jsx              | JavaScript JSX |        120 |          0 |         12 |        132 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/Search.jsx                      | JavaScript JSX |        171 |          1 |         23 |        195 |
| /home/samnang/Documents/apsor-frontend/src/components/shared/ServiceList.jsx                 | JavaScript JSX |         96 |          0 |          7 |        103 |
| /home/samnang/Documents/apsor-frontend/src/data/defaultCategories.js                         | JavaScript     |         66 |          0 |          1 |         67 |
| /home/samnang/Documents/apsor-frontend/src/data/defaultOrders.js                             | JavaScript     |         66 |          0 |          1 |         67 |
| /home/samnang/Documents/apsor-frontend/src/data/defaultProviders.js                          | JavaScript     |         74 |          0 |          1 |         75 |
| /home/samnang/Documents/apsor-frontend/src/data/defaultServices.js                           | JavaScript     |        406 |          0 |          1 |        407 |
| /home/samnang/Documents/apsor-frontend/src/data/defaultSubcategories.js                      | JavaScript     |        242 |          0 |          1 |        243 |
| /home/samnang/Documents/apsor-frontend/src/helper/tableColumn.jsx                            | JavaScript JSX |        998 |          0 |         27 |      1,025 |
| /home/samnang/Documents/apsor-frontend/src/hooks/useOrders.js                                | JavaScript     |          5 |          0 |          2 |          7 |
| /home/samnang/Documents/apsor-frontend/src/hooks/useTheme.js                                 | JavaScript     |         55 |          0 |         10 |         65 |
| /home/samnang/Documents/apsor-frontend/src/i18n/dict.js                                      | JavaScript     |        196 |          0 |          1 |        197 |
| /home/samnang/Documents/apsor-frontend/src/i18n/useLang.js                                   | JavaScript     |         35 |          4 |          7 |         46 |
| /home/samnang/Documents/apsor-frontend/src/index.css                                         | PostCSS        |         97 |          0 |         22 |        119 |
| /home/samnang/Documents/apsor-frontend/src/layouts/RouteLayout.jsx                           | JavaScript JSX |         19 |          0 |          2 |         21 |
| /home/samnang/Documents/apsor-frontend/src/main.jsx                                          | JavaScript JSX |          9 |          0 |          2 |         11 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPassword.jsx                      | JavaScript JSX |        128 |          0 |         13 |        141 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/ForgotPasswordOtp.jsx                   | JavaScript JSX |        190 |          0 |         21 |        211 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/ResetPassword.jsx                       | JavaScript JSX |        178 |          0 |         16 |        194 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/SignIn.jsx                              | JavaScript JSX |        184 |          0 |         21 |        205 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/SignUp.jsx                              | JavaScript JSX |        408 |          0 |         39 |        447 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/authStorage.js                          | JavaScript     |        122 |          0 |         25 |        147 |
| /home/samnang/Documents/apsor-frontend/src/page/auth/signInText.js                           | JavaScript     |         46 |          0 |          1 |         47 |
